Time,CensusTract,NumberOfReports
11/2018,388.0,1
11/2018,282.0,1
11/2018,367.0,1
11/2018,189.01,3
11/2018,624.0,1
11/2018,195.0,1
11/2018,351.02,1
11/2018,528.0,2
11/2018,373.0,1
11/2018,122.0,4
11/2018,48.0,5
11/2018,538.0,2
11/2018,377.0,2
11/2018,198.0,1
11/2018,93.0,1
11/2018,228.0,4
11/2018,1176.02,1
11/2018,580.0,1
11/2018,1155.0,4
11/2018,92.01,1
11/2018,95.0,1
11/2018,185.01,1
11/2018,277.04,1
11/2018,746.0,1
11/2018,273.0,3
11/2018,404.0,2
11/2018,353.01,1
11/2018,1123.0,1
11/2018,1104.0,5
11/2018,1033.0,2
11/2018,213.02,3
11/2018,582.0,1
11/2018,575.0,2
