Time,Geoid,NumberOfReports
05/2017,36061016200,7
06/2017,36047082200,5
02/2017,36047029500,1
05/2017,36061003602,1
05/2017,36005006900,3
11/2017,36061007200,5
09/2017,36061016200,9
04/2017,36005007500,9
01/2017,36005022500,6
02/2017,36047073600,1
12/2017,36047078600,1
08/2017,36061005200,2
07/2017,36061006500,3
06/2017,36047032800,1
07/2017,36061002800,6
10/2017,36061004100,2
03/2017,36081025400,5
04/2017,36005005600,2
10/2017,36061020102,2
09/2017,36081069702,1
07/2017,36047005800,1
03/2017,36061018800,3
12/2017,36061002601,6
10/2017,36005015300,2
11/2017,36047013900,3
11/2017,36047080600,2
10/2017,36047037900,5
10/2017,36061015100,5
12/2017,36047089400,2
12/2017,36047024500,1
03/2017,36061013800,2
10/2017,36047049100,5
07/2017,36061006700,4
03/2017,36061003800,3
10/2017,36005002300,2
10/2017,36047057200,5
10/2017,36047034100,2
08/2017,36047085600,2
10/2017,36061023700,1
01/2017,36061003001,3
02/2017,36061018900,7
06/2017,36061013300,5
05/2017,36085020700,1
12/2017,36061006800,2
07/2017,36081027600,2
01/2017,36047025700,3
11/2017,36047024300,3
05/2017,36061023700,9
11/2017,36005036300,4
09/2017,36061023100,2
09/2017,36047090800,7
01/2017,36005008500,4
08/2017,36081055400,1
02/2017,36005023800,32
12/2017,36047025400,3
07/2017,36005006700,4
08/2017,36061016600,2
10/2017,36047101400,1
07/2017,36047051700,2
01/2017,36005005902,8
12/2017,36047072200,5
08/2017,36061022900,7
03/2017,36047027700,1
12/2017,36047000700,3
05/2017,36061022301,2
04/2017,36047091000,10
06/2017,36047121400,5
03/2017,36005023900,2
03/2017,36005040502,2
08/2017,36061030300,2
08/2017,36047031900,2
05/2017,36047042500,4
10/2017,36081057900,1
05/2017,36047038100,3
11/2017,36005033600,3
07/2017,36081008500,5
03/2017,36047024100,1
06/2017,36061007100,5
06/2017,36061024200,5
10/2017,36061010000,4
07/2017,36047064600,1
06/2017,36047043100,2
05/2017,36061009800,5
06/2017,36005016100,3
07/2017,36061006400,3
08/2017,36081136700,1
01/2017,36085014606,1
10/2017,36061012100,3
09/2017,36061003900,2
06/2017,36061019200,4
01/2017,36047015500,1
12/2017,36081013200,1
04/2017,36005030200,10
05/2017,36047044100,1
02/2017,36061004300,4
08/2017,36061006300,2
08/2017,36061018900,8
08/2017,36061007100,2
08/2017,36005034800,6
01/2017,36081134100,5
06/2017,36047017700,2
07/2017,36047096000,2
02/2017,36061023700,3
09/2017,36081018300,4
11/2017,36005009800,3
10/2017,36005005001,5
04/2017,36061001402,3
05/2017,36005014701,4
05/2017,36047030500,1
04/2017,36081025400,6
12/2017,36061015602,3
12/2017,36085017300,1
