Date,Hour,CensusTract,NumberOfReports
12/13/2018,18,24.0,1
12/13/2018,18,192.0,1
12/13/2018,18,1220.0,1
12/13/2018,18,1435.0,1
12/13/2018,17,246.0,1
12/13/2018,17,22.01,1
12/13/2018,17,181.02,1
12/13/2018,17,138.0,1
12/13/2018,17,779.06,1
12/13/2018,17,182.0,1
12/13/2018,17,257.0,1
12/13/2018,17,942.02,1
12/13/2018,16,497.0,1
12/13/2018,16,779.06,1
12/13/2018,16,261.0,1
12/13/2018,16,545.0,1
12/13/2018,15,297.0,1
12/13/2018,15,156.01,1
12/13/2018,15,279.0,1
12/13/2018,15,231.0,1
12/13/2018,14,39.0,1
12/13/2018,14,261.0,1
12/13/2018,14,46.0,1
12/13/2018,14,581.0,1
12/13/2018,13,311.0,1
12/13/2018,13,403.0,1
12/13/2018,13,141.0,1
12/13/2018,12,419.0,1
12/13/2018,11,822.0,1
12/13/2018,11,1099.0,1
12/13/2018,11,345.0,1
12/13/2018,11,21.0,1
12/13/2018,10,1333.0,1
12/13/2018,10,61.0,1
12/13/2018,09,1182.01,1
12/13/2018,09,1429.0,1
12/13/2018,09,156.0,1
12/13/2018,09,371.0,1
12/13/2018,08,516.02,1
12/13/2018,08,770.0,1
12/13/2018,07,20.01,1
12/13/2018,07,163.0,1
12/13/2018,06,55.01,1
12/13/2018,05,343.0,1
12/13/2018,04,49.0,1
12/13/2018,04,263.0,1
12/13/2018,03,424.0,1
12/13/2018,01,269.0,1
12/13/2018,00,172.0,1
12/12/2018,23,311.0,1
12/12/2018,23,443.0,1
12/12/2018,23,456.0,1
12/12/2018,22,124.0,1
12/12/2018,22,189.0,1
12/12/2018,22,151.0,1
12/12/2018,21,493.02,1
12/12/2018,21,5.01,1
12/12/2018,21,46.0,1
12/12/2018,21,167.0,1
12/12/2018,20,175.0,1
12/12/2018,20,872.0,1
12/12/2018,19,241.0,1
12/12/2018,19,1032.01,1
12/12/2018,19,402.0,1
12/12/2018,18,563.02,1
12/12/2018,18,357.0,1
12/12/2018,18,215.02,1
12/12/2018,17,460.0,1
12/12/2018,17,319.02,1
12/12/2018,16,287.0,1
12/12/2018,16,381.0,1
